group	species	occurrence
birds	sp22694127	6289
birds	sp62169677	6287
birds	sp22679555	6282
birds	sp22709675	6282
birds	sp22683260	6263
birds	sp22683819	6252
birds	sp22720359	6246
birds	sp22697645	6239
birds	sp61815999	6235
birds	sp22699895	6231
birds	sp22680061	6227
birds	sp22695897	6227
birds	sp22693862	6219
birds	sp22697595	6218
birds	sp22683688	6217
birds	sp22695729	6205
birds	sp22695238	6201
birds	sp22695021	6199
birds	sp22693363	6194
birds	sp22684434	6193
birds	sp22699845	6181
birds	sp22718921	6143
birds	sp22697564	6139
birds	sp22683649	6135
birds	sp22693490	6127
birds	sp22684017	6126
birds	sp22712092	6121
birds	sp22684343	6104
birds	sp22709696	6098
birds	sp22694317	6095
birds	sp22699182	6090
birds	sp22693735	6080
birds	sp22719988	6076
birds	sp22690499	6067
birds	sp22696134	6062
birds	sp22705916	6059
birds	sp22727750	6056
birds	sp22695289	6050
birds	sp22695903	6050
birds	sp22690103	6046
birds	sp22724345	6044
birds	sp22708812	6042
birds	sp22683866	6025
birds	sp61418830	6024
birds	sp22714688	6020
birds	sp22682912	6018
birds	sp22696606	6009
birds	sp22679881	6007
birds	sp22712122	5998
birds	sp22678911	5991
birds	sp22683808	5977
birds	sp22689731	5976
birds	sp22696221	5975
birds	sp22724367	5959
birds	sp22700647	5954
birds	sp22680024	5947
birds	sp22712350	5928
birds	sp22714908	5924
birds	sp22718521	5924
birds	sp22721058	5900
birds	sp22694075	5898
birds	sp22689646	5896
birds	sp61914670	5895
birds	sp22712162	5893
birds	sp22705124	5887
birds	sp22693553	5884
birds	sp22696267	5881
birds	sp22700503	5860
birds	sp22696457	5849
birds	sp22693855	5835
birds	sp22680623	5834
birds	sp22690966	5833
birds	sp22697664	5820
birds	sp22690290	5799
birds	sp22716937	5797
birds	sp22695036	5786
birds	sp22695827	5779
birds	sp22721758	5769
birds	sp22700533	5766
birds	sp22721621	5760
birds	sp22724126	5759
birds	sp22683616	5752
birds	sp22696291	5752
birds	sp22714741	5746
birds	sp22696261	5741
birds	sp22683278	5739
birds	sp22700405	5736
birds	sp22694245	5682
birds	sp22718556	5667
birds	sp22697269	5666
birds	sp22721079	5654
birds	sp22690809	5648
birds	sp22694791	5641
birds	sp22696450	5635
birds	sp22710791	5627
birds	sp22692174	5623
birds	sp22718617	5618
birds	sp22688774	5610
birds	sp22690736	5605
birds	sp22699271	5605
birds	sp22695421	5597
birds	sp22689108	5596
birds	sp22695842	5594
birds	sp22697599	5590
birds	sp22695069	5589
birds	sp22695891	5583
birds	sp22697327	5582
birds	sp22701251	5555
birds	sp22712491	5551
birds	sp22680963	5550
birds	sp22712365	5549
birds	sp22711244	5545
birds	sp22694240	5526
birds	sp22724329	5518
birds	sp22697842	5514
birds	sp22686882	5506
birds	sp22710308	5505
birds	sp22680339	5503
birds	sp22689180	5498
birds	sp22716776	5495
birds	sp22683879	5494
birds	sp22699605	5482
birds	sp22700520	5481
birds	sp22711196	5478
birds	sp22727124	5470
birds	sp22720330	5463
birds	sp22696270	5456
birds	sp22692789	5455
birds	sp22684444	5453
birds	sp22716967	5447
birds	sp22708156	5443
birds	sp22709204	5424
birds	sp22695425	5418
birds	sp22693589	5401
birds	sp22717424	5378
birds	sp22733018	5349
birds	sp22707146	5346
birds	sp22705990	5338
birds	sp22695231	5336
birds	sp22724354	5336
birds	sp22680367	5330
birds	sp22686709	5323
birds	sp22720881	5310
birds	sp22712216	5305
birds	sp22735128	5301
birds	sp22712594	5297
birds	sp22705029	5292
birds	sp22714657	5290
